"날짜","출발지","도착지","일별이동횟수","유형","타입","수량"
"20180203","4024790","4171765",1,"N11","직송",224
"20180203","4042492","4295463",1,"N11","직송",256
"20180203","4082771","4149632",1,"N11","직송",192
"20180206","4082771","4016647",1,"N11","직송",128
"20180206","4082771","4216425",1,"N11","직송",100
"20180309","4216425","4081240",1,"N11","직송",135
"20180313","4082771","4260393",1,"N11","직송",256
"20180313","4158934","4099509",1,"L14","직송",24
"20180313","4256696","4258428",1,"N11","직송",96
"20180530","5082584","4024336",1,"N11","직송",160
"20180531","4158934","4099509",1,"L14","직송",24
"20180521","4024790","4056322",1,"N11","직송",288
"20180521","4268667","4016647",1,"N12","직송",132
"20180521","5016527","4055335",1,"N11","직송",240
"20180516","4268667","4225930",1,"N12","직송",96
"20180604","4077960","4279191",1,"N12","직송",192
"20180613","5254883","4196917",1,"N11","직송",264
"20180614","4024790","4132530",1,"N11","직송",192
"20180614","4024790","4169776",1,"N11","직송",256
"20180614","4056326","4225803",1,"N11","직송",100
"20171129","4024790","4180771",1,"N11","직송",288
"20171129","4084453","4153036",1,"N11","직송",256
"20171222","4082771","4101313",1,"N11","직송",120
"20171222","4142683","4147549",1,"N11","직송",16
"20171222","4183890","4179258",1,"N11","직송",100
"20171226","4273208","4202505",1,"N11","직송",112
"20171226","5096067","4177762",1,"N11","직송",15
"20171228","4024790","4180771",1,"N11","직송",288
"20180115","4024790","4137879",1,"N11","직송",288
"20180117","4082771","4163551",1,"N11","직송",192
"20180117","4082771","4265797",1,"N11","직송",192
"20180123","5254883","4112375",1,"N11","직송",276
"20180125","4206283","4162281",1,"N11","직송",192
"20180212","5031254","4153270",1,"N11","직송",194
"20180212","5124695","4033031",1,"N11","직송",1
"20180212","5138742","4033031",1,"N11","직송",1
"20180212","5146456","4033031",1,"N11","직송",1
"20180213","5276986","4041880",1,"N11","직송",75
"20180214","4024790","4171765",1,"N11","직송",224
"20180317","4024790","4089530",1,"N11","직송",256
"20180317","4024790","4233361",1,"N11","직송",224
"20180319","4082771","4235141",1,"N11","직송",120
"20180322","4024790","4090056",1,"N11","직송",96
"20180409","4082771","4167966",1,"N11","직송",192
"20180411","4024790","4082399",1,"N11","직송",256
"20180411","4082771","4191759",1,"N11","직송",192
"20180414","4024790","4143802",1,"N11","직송",192
"20180525","5081094","4017192",1,"N11","직송",161
